benchmark kvrocks-topling
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          527.17          ---          ---        19.46656        17.15100        59.90300       132.09500      1075.03 
Gets        52634.09     52631.70         2.39        18.78902        16.76700        55.55100        81.40700    107173.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53161.26     52631.70         2.39        18.79574        16.76700        55.55100        81.91900    108248.87 


Request Latency Distribution
Type     <= msec         Percent
Totals       5483.42       168.62517       151.55100       419.83900       581.63100     11199.59 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
ZADD      1.511        0.000
ZADD     75.775        5.000
ZADD     86.527       10.000
ZADD     95.231       15.000
ZADD    102.911       20.000
ZADD    110.591       25.000
ZADD    117.759       30.000
ZADD    125.951       35.000
ZADD    134.143       40.000
ZADD    142.335       45.000
ZADD    151.551       50.000
ZADD    156.671       52.500
ZADD    160.767       55.000
ZADD    165.887       57.500
ZADD    171.007       60.000
ZADD    177.151       62.500
ZADD    182.271       65.000
ZADD    188.415       67.500
ZADD    194.559       70.000
ZADD    201.727       72.500
ZADD    209.919       75.000
ZADD    214.015       76.250
ZADD    218.111       77.500
ZADD    223.231       78.750
ZADD    227.327       80.000
ZADD    231.423       81.250
ZADD    236.543       82.500
ZADD    241.663       83.750
ZADD    247.807       85.000
ZADD    252.927       86.250
ZADD    260.095       87.500
ZADD    264.191       88.125
ZADD    268.287       88.750
ZADD    272.383       89.375
ZADD    276.479       90.000
ZADD    280.575       90.625
ZADD    284.671       91.250
ZADD    288.767       91.875
ZADD    294.911       92.500
ZADD    301.055       93.125
ZADD    307.199       93.750
ZADD    309.247       94.062
ZADD    313.343       94.375
ZADD    317.439       94.688
ZADD    321.535       95.000
ZADD    325.631       95.312
ZADD    329.727       95.625
ZADD    335.871       95.938
ZADD    339.967       96.250
ZADD    346.111       96.562
ZADD    350.207       96.875
ZADD    354.303       97.031
ZADD    358.399       97.188
ZADD    360.447       97.344
ZADD    364.543       97.500
ZADD    368.639       97.656
ZADD    372.735       97.812
ZADD    378.879       97.969
ZADD    382.975       98.125
ZADD    389.119       98.281
ZADD    393.215       98.438
ZADD    397.311       98.516
ZADD    399.359       98.594
ZADD    403.455       98.672
ZADD    407.551       98.750
ZADD    409.599       98.828
ZADD    413.695       98.906
ZADD    419.839       98.984
ZADD    423.935       99.062
ZADD    428.031       99.141
ZADD    434.175       99.219
ZADD    436.223       99.258
ZADD    438.271       99.297
ZADD    442.367       99.336
ZADD    444.415       99.375
ZADD    448.511       99.414
ZADD    450.559       99.453
ZADD    454.655       99.492
ZADD    458.751       99.531
ZADD    464.895       99.570
ZADD    468.991       99.609
ZADD    473.087       99.629
ZADD    477.183       99.648
ZADD    481.279       99.668
ZADD    485.375       99.688
ZADD    489.471       99.707
ZADD    493.567       99.727
ZADD    497.663       99.746
ZADD    501.759       99.766
ZADD    505.855       99.785
ZADD    518.143       99.805
ZADD    524.287       99.814
ZADD    528.383       99.824
ZADD    536.575       99.834
ZADD    536.575       99.844
ZADD    544.767       99.854
ZADD    548.863       99.863
ZADD    552.959       99.873
ZADD    557.055       99.883
ZADD    569.343       99.893
ZADD    585.727       99.902
ZADD    589.823       99.907
ZADD    602.111       99.912
ZADD    614.399       99.917
ZADD    626.687       99.922
ZADD    638.975       99.927
ZADD    667.647       99.932
ZADD    696.319       99.937
ZADD    909.311       99.941
ZADD    917.503       99.946
ZADD    921.599       99.951
ZADD    929.791       99.954
ZADD    929.791       99.956
ZADD    933.887       99.958
ZADD    937.983       99.961
ZADD    942.079       99.963
ZADD    946.175       99.966
ZADD    954.367       99.968
ZADD    954.367       99.971
ZADD    958.463       99.973
ZADD    962.559       99.976
ZADD    966.655       99.977
ZADD    970.751       99.978
ZADD    970.751       99.979
ZADD    974.847       99.980
ZADD    974.847       99.982
ZADD    978.943       99.983
ZADD    978.943       99.984
ZADD    983.039       99.985
ZADD    987.135       99.987
ZADD    987.135       99.988
ZADD    987.135       99.988
ZADD    991.231       99.989
ZADD    991.231       99.990
ZADD    991.231       99.990
ZADD    991.231       99.991
ZADD    991.231       99.991
ZADD    991.231       99.992
ZADD    991.231       99.993
ZADD    995.327       99.993
ZADD    995.327       99.994
ZADD    995.327       99.994
ZADD    995.327       99.995
ZADD    995.327       99.995
ZADD    995.327       99.995
ZADD    995.327       99.995
ZADD    995.327       99.996
ZADD    999.423       99.996
ZADD    999.423       99.996
ZADD   1003.519       99.997
ZADD   1007.615       99.997
ZADD   1007.615       99.997
ZADD   1007.615       99.997
ZADD   1007.615       99.997
ZADD   1007.615       99.998
ZADD   1007.615       99.998
ZADD   1007.615       99.998
ZADD   1011.711       99.998
ZADD   1011.711       99.998
ZADD   1011.711       99.998
ZADD   1011.711       99.998
ZADD   1011.711       99.999
ZADD   1011.711       99.999
ZADD   1011.711       99.999
ZADD   1011.711       99.999
ZADD   1011.711       99.999
ZADD   1011.711       99.999
ZADD   1015.807       99.999
ZADD   1015.807       99.999
ZADD   1015.807       99.999
ZADD   1015.807       99.999
ZADD   1019.903       99.999
ZADD   1019.903       99.999
ZADD   1019.903       99.999
ZADD   1019.903       99.999
ZADD   1023.999       99.999
ZADD   1023.999       99.999
ZADD   1023.999      100.000
ZADD   1023.999      100.000
ZADD   1032.191      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1036.287      100.000
ZADD   1040.383      100.000
ZADD   1040.383      100.000
---
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
==================================================================================================
Type         Ops/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------
Sadds        6690.33       149.41016       143.35900       305.15100       401.40700     13645.16 
Totals       6690.33       149.41016       143.35900       305.15100       401.40700     13645.16 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SADD      2.079        0.000
SADD     80.895        5.000
SADD     92.159       10.000
SADD    100.863       15.000
SADD    108.031       20.000
SADD    114.687       25.000
SADD    120.319       30.000
SADD    125.951       35.000
SADD    132.095       40.000
SADD    137.215       45.000
SADD    143.359       50.000
SADD    146.431       52.500
SADD    148.479       55.000
SADD    151.551       57.500
SADD    154.623       60.000
SADD    157.695       62.500
SADD    161.791       65.000
SADD    164.863       67.500
SADD    168.959       70.000
SADD    173.055       72.500
SADD    177.151       75.000
SADD    179.199       76.250
SADD    181.247       77.500
SADD    184.319       78.750
SADD    186.367       80.000
SADD    189.439       81.250
SADD    192.511       82.500
