benchmark kvrocks
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          518.79          ---          ---        19.82097        17.40700        60.92700       134.14300      1057.88 
Gets        51797.27     51794.89         2.38        19.09143        17.02300        56.57500        82.43100    105356.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52316.06     51794.89         2.38        19.09866        17.02300        56.57500        82.94300    106414.50 


Request Latency Distribution
Type     <= msec         Percent
ZADD    303.103       96.875
ZADD    305.151       97.031
ZADD    307.199       97.188
ZADD    309.247       97.344
ZADD    313.343       97.500
ZADD    315.391       97.656
ZADD    319.487       97.812
ZADD    321.535       97.969
ZADD    325.631       98.125
ZADD    329.727       98.281
ZADD    335.871       98.438
ZADD    337.919       98.516
ZADD    342.015       98.594
ZADD    344.063       98.672
ZADD    348.159       98.750
ZADD    350.207       98.828
ZADD    354.303       98.906
ZADD    358.399       98.984
ZADD    360.447       99.062
ZADD    364.543       99.141
ZADD    370.687       99.219
ZADD    372.735       99.258
ZADD    374.783       99.297
ZADD    378.879       99.336
ZADD    382.975       99.375
ZADD    387.071       99.414
ZADD    391.167       99.453
ZADD    395.263       99.492
ZADD    401.407       99.531
ZADD    405.503       99.570
ZADD    409.599       99.609
ZADD    413.695       99.629
ZADD    415.743       99.648
ZADD    419.839       99.668
ZADD    421.887       99.688
ZADD    425.983       99.707
ZADD    428.031       99.727
ZADD    432.127       99.746
ZADD    438.271       99.766
ZADD    442.367       99.785
ZADD    448.511       99.805
ZADD    450.559       99.814
ZADD    454.655       99.824
ZADD    456.703       99.834
ZADD    458.751       99.844
ZADD    462.847       99.854
ZADD    464.895       99.863
ZADD    471.039       99.873
ZADD    475.135       99.883
ZADD    479.231       99.893
ZADD    483.327       99.902
ZADD    485.375       99.907
ZADD    489.471       99.912
ZADD    491.519       99.917
ZADD    493.567       99.922
ZADD    495.615       99.927
ZADD    497.663       99.932
ZADD    501.759       99.937
ZADD    505.855       99.941
ZADD    509.951       99.946
ZADD    518.143       99.951
ZADD    522.239       99.954
ZADD    524.287       99.956
ZADD    528.383       99.958
ZADD    532.479       99.961
ZADD    536.575       99.963
ZADD    544.767       99.966
ZADD    548.863       99.968
ZADD    565.247       99.971
ZADD    585.727       99.973
ZADD    606.207       99.976
ZADD    622.591       99.977
ZADD    634.879       99.978
ZADD    651.263       99.979
ZADD    659.455       99.980
ZADD    667.647       99.982
ZADD   1007.615       99.983
ZADD   1015.807       99.984
ZADD   1015.807       99.985
ZADD   1023.999       99.987
ZADD   1028.095       99.988
ZADD   1032.191       99.988
ZADD   1032.191       99.989
ZADD   1032.191       99.990
ZADD   1032.191       99.990
ZADD   1032.191       99.991
ZADD   1032.191       99.991
ZADD   1036.287       99.992
ZADD   1036.287       99.993
ZADD   1036.287       99.993
ZADD   1036.287       99.994
